N/A,com.apple.TrustMe,Pre-Installed,
Candy Crush,com.candywriter.explorer10,,
N/A,com.apple.Preferences,Pre-Installed,
N/A,com.apple.uikit.PrintStatus,Pre-Installed,
N/A,com.apple.MobileStore,Pre-Installed,
TED,com.ted.TED,,f2bd4c26a8af993d6e78f14cf94389d470ebd2cd.plist
N/A,com.apple.HealthPrivacyService,Pre-Installed,
Notes,com.apple.mobilenotes,Pre-Installed,
Snapchat,com.toyopagroup.picaboo,,
Sudoku,com.ticbits.sudoku,,
Sunrise Calendar,am.sunrise.ios,,0c04e65763d541e4acf8a4fce426bc052e13e04d.plist
WhatsApp,net.whatsapp.WhatsApp,,
Yelp,com.yelp.yelpiphone,,c897722299882c4ddc7c5fa99a4b6b7f87ce6738.plist
AP News,com.apnews.mobilenews,,31860c71268db85481a32bdf0aedf3cf3a86d0c5.plist
Apple Mail,com.apple.mobilemail,Pre-Installed,4800b8726fbd1a324c181bd735d6457f3eced7cc.plist
Apple Maps,com.apple.Maps,Pre-Installed,
Backgammon,com.adikus.backgammon,,2045a5674c57039ed9fabbda24944091939d8029.plist
BBC News,uk.co.bbc.news,,16779eede28c39b27eac09a502432a4e2d85069a.plist
CNN,com.cnn.iphone,,fa6663f6f81ef07579e45aaf599b72afb4fa1793.plist
Dictionary.com,com.reference.dictionary.dictionary,,a9aa0e872d39ea0960425356e656277593bee3a0.plist
Facebook,com.facebook.Facebook,,384eb9e62ba50d7f3a21d9224123db62879ef423.plist
Facebook Messenger,com.facebook.Messenger,,0ba8559bd5e366782b1e5d846c3bb94a71f435d8.plist
Followers,com.noapostroph3s.followers.instagram,,f8b156595b6aa89fd72e7b00c80dbb521da7c3d0.plist
GrubHub,com.grubhub.search,,6d4a786f3c5dcd1a545dc37aadaff7336d63eb81.plist
HopStop,com.hopstop.HopStop,,5e5a019bab4a0bb548b0251ae9b0f9bade4d11ef.plist
Instagram,com.burbn.instagram,,72b88e49ac4f48605284907191d53d474397100f.plist
Iris,com.lowes.mobile.consumer.iris,,70b025173a26f150dac67be74c9bb7f24d8917d5.plist
iStudiez Pro,com.kachalobalashoff.iStudent,,09623102abe9e3e5c26afe6703e7a9854eb91bf5.plist
LinkedIn,com.linkedin.LinkedIn,,
Mixologist,com.digitaloutcrop.Mixologist,,2940131e091b91b182ab3341579769ddcb1f62a3.plist
Mobile Me,com.apple.mobileme.fmf1,Pre-Installed,5a47b5c58a4f7a18b3a0dd7c1562446c717d80b0.plist
MyFitnessPal,com.myfitnesspal.mfp,,32048dc3eb883e2bc06c8264a197c6551202b278.plist
